iter	Passed	Remaining
240	342	1078
241	343	1074
242	343	1070
243	344	1066
244	345	1063
245	345	1060
246	346	1057
247	347	1054
248	348	1050
249	349	1047
250	349	1043
251	350	1040
252	351	1037
253	352	1034
254	352	1030
255	353	1027
256	354	1024
257	354	1020
258	355	1017
259	356	1014
260	357	1011
261	357	1008
262	358	1004
263	359	1001
264	360	998
265	361	996
266	361	993
267	362	989
268	363	986
269	363	983
270	364	980
271	365	977
272	365	973
273	366	970
274	367	968
275	368	965
276	368	962
277	369	959
278	370	956
279	370	953
280	371	951
281	372	948
282	373	945
283	374	942
284	374	940
285	375	938
286	376	935
287	377	933
288	378	930
289	378	927
290	379	924
291	380	922
292	381	919
293	381	916
294	382	914
295	383	911
296	383	908
297	384	905
298	385	903
299	385	900
300	386	897
301	387	894
302	387	892
303	388	889
304	389	886
305	389	884
306	390	882
307	391	879
308	392	877
309	392	874
310	393	871
311	394	869
312	394	866
313	395	864
314	396	861
315	396	858
316	397	856
317	398	854
318	398	851
319	399	849
320	400	846
321	400	844
322	401	841
323	402	839
324	402	836
325	403	834
326	404	831
327	404	829
328	405	827
329	406	825
330	407	822
331	407	820
332	408	818
333	409	815
334	409	813
335	410	811
336	411	808
337	411	806
338	412	804
339	413	802
340	413	799
341	414	797
342	415	795
343	415	792
344	416	790
345	417	788
346	417	786
347	418	784
348	419	781
349	419	779
350	420	777
351	421	775
352	422	773
353	422	771
354	423	769
355	424	767
356	424	764
357	425	762
358	426	760
359	426	758
360	427	756
361	428	754
362	428	752
363	429	750
364	430	748
365	430	745
366	431	743
367	432	742
368	432	740
369	433	738
370	434	736
371	434	734
372	435	732
373	436	730
374	437	728
375	437	726
376	438	724
377	439	722
378	439	720
379	440	718
380	441	716
381	441	714
382	442	712
383	443	710
384	443	708
385	444	706
386	445	704
387	445	703
388	446	701
389	447	699
390	447	697
391	448	695
392	449	693
393	449	691
394	450	690
395	451	688
396	451	686
397	452	684
398	453	682
399	453	680
400	454	679
401	455	677
402	455	675
403	456	673
404	457	671
405	457	669
406	458	668
407	459	666
408	459	664
409	460	662
410	461	660
411	461	659
412	462	657
413	463	655
414	463	653
415	464	651
416	465	650
417	466	648
418	466	647
419	467	645
420	468	643
421	468	641
422	469	640
423	469	638
424	470	636
425	471	635
426	471	633
427	472	631
428	473	629
429	473	628
430	474	626
431	475	624
432	475	623
433	476	621
434	477	619
435	477	618
436	478	616
437	479	614
438	479	613
439	480	611
440	481	610
441	482	608
442	483	607
443	483	605
444	484	604
445	485	602
446	485	600
447	486	599
448	487	597
449	487	596
450	488	594
451	489	593
452	490	591
453	490	590
454	491	588
455	492	587
456	492	585
457	493	583
458	494	582
459	494	580
460	495	579
461	496	578
462	497	576
463	498	575
464	499	574
465	500	573
466	500	571
467	501	570
468	502	569
469	503	567
470	504	566
471	505	565
472	506	563
473	506	562
474	507	560
475	508	559
476	508	557
477	509	556
478	510	554
479	511	553
480	511	552
481	512	551
482	513	549
483	514	548
484	515	547
485	516	546
486	516	544
487	517	543
488	518	541
489	519	540
490	519	538
491	520	537
492	521	535
493	521	534
494	522	533
495	523	531
496	523	530
497	524	528
498	525	527
499	526	526
500	526	524
501	527	523
502	528	521
503	528	520
504	529	519
505	530	517
506	530	516
507	531	515
508	532	513
509	533	512
510	534	511
511	534	509
512	535	508
513	536	507
514	537	506
515	538	504
516	539	503
517	540	502
518	540	501
519	541	500
520	542	498
521	543	497
522	543	496
523	544	494
524	545	493
525	546	492
526	547	491
527	547	489
528	548	488
529	549	487
530	550	485
531	550	484
532	551	483
533	552	481
534	553	480
535	553	479
536	554	478
537	555	476
538	556	475
539	556	474
540	557	473
541	558	471
542	559	470
543	559	469
544	560	468
545	561	466
546	562	465
547	562	464
548	563	462
549	564	461
550	564	460
551	565	459
552	566	457
553	567	456
554	567	455
555	568	454
556	569	453
557	570	451
558	571	450
559	571	449
560	572	448
561	573	446
562	574	445
563	574	444
564	575	443
565	576	441
566	577	440
567	577	439
568	578	438
569	579	436
570	579	435
571	580	434
572	581	433
573	581	431
574	582	430
575	583	429
576	584	428
577	585	427
578	586	426
579	586	424
580	587	423
581	588	422
582	588	421
583	589	420
584	590	418
585	591	417
586	591	416
587	592	415
588	593	413
589	593	412
590	594	411
591	595	410
592	595	408
593	596	407
594	597	406
595	598	405
596	599	404
597	599	403
598	600	402
599	601	400
600	602	399
601	602	398
602	603	397
603	604	396
604	605	395
605	605	393
606	606	392
607	607	391
608	608	390
609	609	389
610	609	388
611	610	387
612	611	385
613	611	384
614	612	383
615	613	382
616	614	381
617	615	380
618	616	379
619	617	378
620	617	377
621	618	375
622	619	374
623	619	373
624	620	372
625	621	371
626	622	370
627	622	368
628	623	367
629	624	366
630	624	365
631	625	364
632	626	363
633	626	361
634	627	360
635	628	359
636	629	358
637	630	357
638	630	356
639	631	355
640	632	354
641	633	352
642	633	351
643	634	350
644	635	349
645	635	348
646	636	347
647	637	346
648	638	345
649	639	344
650	639	343
651	640	341
652	641	340
653	642	339
654	643	338
655	644	337
656	645	336
657	645	335
658	646	334
659	647	333
660	648	332
661	649	331
662	649	330
663	650	329
664	651	328
665	652	327
666	652	325
667	653	324
668	654	323
669	655	322
670	655	321
671	656	320
672	657	319
673	658	318
674	659	317
675	660	316
676	660	315
677	661	314
678	662	312
679	662	311
680	663	310
681	664	309
682	664	308
683	665	307
684	666	306
685	667	305
686	667	304
687	668	303
688	669	302
689	669	300
690	670	299
691	671	298
692	672	297
693	673	296
694	688	302
695	690	301
696	690	300
697	691	299
698	692	298
699	693	297
700	694	296
701	695	295
702	695	294
703	696	292
704	697	291
705	698	290
706	699	289
707	700	289
708	701	288
709	704	287
710	705	286
711	707	286
712	707	284
713	708	283
714	709	282
715	710	281
716	711	280
717	712	279
718	712	278
719	713	277
720	714	276
721	715	275
722	716	274
723	719	274
724	720	273
725	721	272
726	722	271
727	723	270
728	724	269
729	725	268
730	726	267
731	727	266
732	727	265
733	728	264
734	729	262
735	730	262
736	731	261
737	733	260
738	734	259
739	735	258
740	736	257
741	737	256
742	737	255
743	738	254
744	739	253
745	739	251
746	740	250
747	741	249
748	742	248
749	742	247
750	743	246
751	744	245
752	745	244
753	746	243
754	746	242
755	748	241
756	749	240
757	750	239
758	750	238
759	751	237
760	752	236
761	753	235
762	753	234
763	754	233
764	755	232
765	755	230
766	756	229
767	757	228
768	757	227
769	758	226
770	759	225
771	760	224
772	760	223
773	761	222
774	762	221
775	763	220
776	763	219
777	764	218
778	765	217
779	765	215
780	766	214
781	767	213
782	767	212
783	768	211
784	769	210
785	769	209
786	770	208
787	771	207
788	771	206
789	772	205
790	773	204
791	774	203
792	774	202
793	775	201
794	776	200
795	777	199
796	777	198
797	778	197
798	779	196
799	779	194
800	780	193
801	781	192
802	782	191
803	782	190
804	783	189
805	784	188
806	784	187
807	785	186
808	785	185
809	786	184
810	787	183
811	788	182
812	788	181
813	789	180
814	790	179
815	790	178
816	791	177
817	792	176
818	792	175
819	793	174
820	794	173
821	794	172
822	795	171
823	796	170
824	797	169
825	797	168
826	798	167
827	799	166
828	799	164
829	800	163
830	801	162
831	801	161
832	802	160
833	803	159
834	804	158
835	804	157
836	805	156
837	817	158
838	818	157
839	818	155
840	819	154
841	820	153
842	821	152
843	821	151
844	822	150
845	823	149
846	824	148
847	824	147
848	825	146
849	826	145
850	827	144
851	827	143
852	828	142
853	829	141
854	830	140
855	830	139
856	831	138
857	832	137
858	832	136
859	833	135
860	834	134
861	835	133
862	836	132
863	836	131
864	837	130
865	838	129
866	839	128
867	840	127
868	840	126
869	842	125
870	843	124
871	843	123
872	844	122
873	845	121
874	846	120
875	846	119
876	847	118
877	848	117
878	848	116
879	849	115
880	850	114
881	850	113
882	851	112
883	852	111
884	853	110
885	854	109
886	854	108
887	855	107
888	856	106
889	856	105
890	857	104
891	858	103
892	859	102
893	859	101
894	860	100
895	861	100
896	862	99
897	863	98
898	863	97
899	864	96
900	865	95
901	865	94
902	866	93
903	867	92
904	868	91
905	868	90
906	869	89
907	870	88
908	870	87
909	871	86
910	872	85
911	872	84
912	873	83
913	874	82
914	874	81
915	875	80
916	876	79
917	876	78
918	877	77
919	878	76
920	878	75
921	879	74
922	880	73
923	880	72
924	881	71
925	882	70
926	883	69
927	883	68
928	884	67
929	885	66
930	885	65
931	886	64
932	887	63
933	887	62
934	888	61
935	889	60
936	890	59
937	890	58
938	891	57
939	892	56
940	892	55
941	893	55
942	894	54
943	894	53
944	895	52
945	896	51
946	896	50
947	897	49
948	898	48
949	899	47
950	900	46
951	900	45
952	901	44
953	902	43
954	902	42
955	903	41
956	904	40
957	904	39
958	905	38
959	906	37
960	907	36
961	907	35
962	908	34
963	909	33
964	909	32
965	910	32
966	910	31
967	911	30
968	912	29
969	913	28
970	914	27
971	914	26
972	915	25
973	916	24
974	916	23
975	917	22
976	918	21
977	919	20
978	919	19
979	920	18
980	921	17
981	921	16
982	922	15
983	923	15
984	923	14
985	924	13
986	925	12
987	925	11
988	926	10
989	927	9
990	928	8
991	928	7
992	929	6
993	930	5
994	931	4
995	931	3
996	932	2
997	933	1
998	933	0
999	934	0
